idx,quantum_mlp,test_auc,test_acc,val_auc,val_acc,#params
55,False,91.86247454904503,74.81296758104739,92.66078740309925,75.47357926221336,47351
56,True,92.20379193647875,75.16209476309227,92.84979110559632,74.57627118644068,47327
56,False,92.06008986155051,75.76059850374065,92.99957446934374,75.77268195413758,47351
57,True,92.00960744306484,75.11221945137157,92.99387602602025,73.47956131605184,47327
57,False,92.08293473711564,74.81296758104739,92.67944542764806,75.87238285144566,47351
58,True,91.77430933705077,75.81047381546135,92.60783709844017,74.77567298105683,47327
58,False,91.76128791028904,74.51371571072319,93.10369972736882,75.17447657028913,47351
59,True,91.9547233046952,74.713216957606,92.88266636951954,75.67298105682951,47327
59,False,91.88375320805753,75.01246882793018,92.6023398406156,75.87238285144566,47351
60,True,92.13887170308986,74.81296758104739,93.19371800365911,75.3738783649053,47327
60,False,92.14430024584674,74.76309226932668,92.84737514467662,75.77268195413758,47351
61,True,92.0911626935723,75.31172069825436,92.68083419188832,75.17447657028913,47327
61,False,91.90442969058,75.96009975062344,93.01602003921077,74.77567298105683,47351
62,True,92.18591610223046,74.91271820448878,92.64499203320014,74.37686939182453,47327
62,False,91.90689133815917,75.16209476309227,92.83661439041477,75.97208374875373,47351
63,True,92.01303710415871,74.56359102244389,92.69865574631069,73.87836490528414,47327
63,False,92.22341970737098,74.51371571072319,92.8931760209386,73.47956131605184,47351
64,True,92.07748894432848,75.01246882793018,93.17925867233087,76.9690927218345,47327
64,False,91.90502290861201,75.11221945137157,92.79100838359228,74.67597208374876,47351
65,True,92.35801850077027,74.96259351620948,92.86515812188323,75.47357926221336,47327
65,False,92.01922531206107,75.21197007481297,92.91709785063937,75.97208374875373,47351
66,True,92.0259290217758,76.15960099750623,92.72952676558465,75.3738783649053,47327
66,False,91.64621551348418,74.3142144638404,92.76327384793895,75.57328015952145,47351
67,True,91.90719814635409,75.16209476309227,93.05249129958268,75.67298105682951,47327
67,False,91.83714004291826,75.01246882793018,92.71751949394044,75.57328015952145,47351
