idx,mlp_size,test_auc,test_acc,val_auc,val_acc,#params
5,10,91.8644890981883,75.16209476309227,92.67359765661814,74.97507477567298,32571
5,11,91.66594427467517,74.96259351620948,92.61253673825223,75.2741774675972,33391
5,12,92.3304301935799,74.51371571072319,92.51905716727161,75.3738783649053,34215
5,13,92.43204946311224,75.36159600997506,93.05708456811843,75.2741774675972,35043
5,14,92.32344823089166,76.55860349127181,93.15601424484382,75.57328015952145,35875
5,15,92.10101073406143,74.81296758104739,92.61882460364855,75.97208374875373,36711
5,16,91.95664762762263,74.91271820448878,93.07610654651187,75.97208374875373,37551
5,17,92.56914214394335,74.713216957606,92.98615983399797,75.57328015952145,38395
5,18,91.21828009920527,73.61596009975062,92.26047501591754,75.2741774675972,39243
6,2,91.69845499542343,74.86284289276807,92.50288071244287,74.17746759720838,26155
6,3,91.99342937678237,74.91271820448878,92.54821331465662,73.28015952143569,26943
6,4,92.33899459327556,75.46134663341645,92.99402415426411,75.3738783649053,27735
6,5,92.10175171359045,74.56359102244389,92.78752041458975,74.97507477567298,28531
6,6,92.31266119695721,74.96259351620948,93.26782201307718,75.3738783649053,29331
6,7,91.88059411692294,73.91521197007481,92.6791582622403,73.87836490528414,30135
6,8,92.24247038771071,76.9576059850374,92.94504140022164,75.3738783649053,30943
6,9,92.45500515620738,76.40897755610972,92.92417988674572,75.97208374875373,31755
6,10,92.40128222408114,75.01246882793018,92.9113437445979,75.3738783649053,32571
6,11,92.4298846490412,75.36159600997506,93.26310172733831,74.77567298105683,33391
6,12,91.94416506958578,75.51122194513715,93.05979924208793,74.67597208374876,34215
6,13,91.89575078198735,74.81296758104739,92.5835431024885,74.37686939182453,35043
6,14,92.29021782815826,75.51122194513715,93.23730708966319,75.47357926221336,35875
6,15,92.05820217350286,75.51122194513715,92.77601928601655,75.07477567298105,36711
6,16,92.33667631225721,75.51122194513715,92.83072016969449,73.678963110668,37551
6,17,92.37631599110061,75.81047381546135,92.9096790872655,75.2741774675972,38395
6,18,92.33129026954707,75.76059850374065,93.35500657437679,76.17148554336988,39243
7,2,91.63389516063447,74.46384039900249,92.75246895789763,75.67298105682951,26155
7,3,92.08666555941149,75.36159600997506,92.61936493796077,75.07477567298105,26943
7,4,92.06976433713116,74.81296758104739,93.27427697088675,74.8753738783649,27735
7,5,91.85422818667611,75.16209476309227,92.82370837379113,75.3738783649053,28531
7,6,92.26257866359856,75.06234413965088,93.03552978046055,75.17447657028913,29331
7,7,92.242296016294,74.66334164588528,92.68864402915369,75.77268195413758,30135
7,8,91.28470440280509,75.26184538653366,92.73497505743514,73.47956131605184,30943
7,9,92.50404046245654,74.81296758104739,93.1072788835572,76.27118644067797,31755
7,10,92.33352373990975,74.96259351620948,92.92437336481176,73.77866400797608,32571
7,11,92.39033224587823,75.56109725685786,93.25143725666771,75.97208374875373,33391
7,12,92.0435453706452,75.76059850374065,92.97026666852342,75.87238285144566,34215
7,13,91.9770816106418,75.66084788029926,92.7144137268586,75.2741774675972,35043
7,14,92.32616680437025,75.56109725685786,93.06171666497356,76.27118644067797,35875
7,15,92.33808968615119,76.35910224438904,93.00492138518844,75.97208374875373,36711
7,16,92.4403126668603,75.91022443890274,92.84822379639301,75.67298105682951,37551
7,17,92.02478890258682,75.56109725685786,92.90776378988525,76.27118644067797,38395
7,18,92.13836727114703,75.21197007481297,92.87138199606979,75.57328015952145,39243
8,2,91.28996252451522,72.96758104738154,92.46791077525299,74.97507477567298,26155
8,3,91.72209222489917,75.21197007481297,92.97336359100747,75.97208374875373,26943
8,4,91.96610217376102,75.71072319201994,92.864694793952,74.97507477567298,27735
8,5,92.02788432163749,73.11720698254364,92.92399880390121,75.3738783649053,28531
8,6,91.78702993785105,74.96259351620948,92.52184166668815,75.87238285144566,29331
8,7,92.21597288555563,75.06234413965088,92.71559872966961,74.67597208374876,30135
8,8,92.03341032746933,75.01246882793018,93.2994121118523,77.16849451645065,30943
8,9,92.22692381176518,75.06234413965088,92.63959139692336,75.3738783649053,31755
8,10,92.56611814505187,75.86034912718205,93.05206274236743,76.37088733798603,32571
8,11,91.59896868078208,74.76309226932668,92.73123879566788,75.77268195413758,33391
8,12,91.76688721310009,75.11221945137157,92.7494990272983,74.97507477567298,34215
8,13,91.8698397418992,75.01246882793018,92.89885184599346,74.0777666999003,35043
8,14,92.48193527071103,75.41147132169576,92.96392667929237,75.67298105682951,35875
8,15,92.13808065184611,75.56109725685786,92.35561022493135,75.17447657028913,36711
8,16,92.34845172874076,73.56608478802993,92.85273450927971,75.87238285144566,37551
8,17,92.64332186319247,76.30922693266832,93.35581469310804,75.07477567298105,38395
8,18,92.44002574711725,76.30922693266832,93.14116427440459,74.57627118644068,39243
9,2,91.76423124316075,74.0149625935162,92.85026766161168,75.07477567298105,26155
9,3,92.25374424598265,75.46134663341645,93.29829694192185,74.67597208374876,26943
9,4,92.11317754528842,74.56359102244389,92.66237530307045,73.678963110668,27735
9,5,91.82926193927757,74.56359102244389,92.6226065174091,74.77567298105683,28531
9,6,91.93128217186704,75.51122194513715,92.54625322034748,75.2741774675972,29331
9,7,92.48967536974861,75.86034912718205,93.3105040900459,75.07477567298105,30135
9,8,92.14762286384828,74.91271820448878,93.05802932316683,75.17447657028913,30943
9,9,92.68341497739104,75.91022443890274,93.41476558995939,75.47357926221336,31755
9,10,91.74016299559221,73.81546134663341,92.88061525678481,74.47657028913261,32571
9,11,91.97307266461505,75.86034912718205,93.01086006906797,75.67298105682951,33391
9,12,92.49623569255307,75.71072319201994,93.21956644707014,75.07477567298105,34215
9,13,92.35114448262021,75.31172069825436,93.33500619238173,74.8753738783649,35043
9,14,92.35392232865209,75.41147132169576,92.57992778382825,74.0777666999003,35875
9,15,92.30279193991959,75.36159600997506,93.30015140470155,75.77268195413758,36711
9,16,92.82690018289271,76.25935162094764,92.93974525781054,75.87238285144566,37551
9,17,92.2815422947722,74.91271820448878,93.01503407330165,75.97208374875373,38395
