idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
13,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.36276414633068,73.46633416458853,92.6395371750109,74.57627118644068,31755,1
14,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.26889002341399,71.7206982543641,91.36455267584309,73.678963110668,1300959,2
14,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.34880807432454,74.3640897755611,92.54783820714663,75.07477567298105,572235,1
14,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.60244289046328,71.97007481296758,90.8348296709851,70.48853439680957,374907,1
14,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.05369470792873,73.46633416458853,92.2792359554114,73.87836490528414,104667,1
14,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.53951263446064,74.56359102244389,92.45287404862401,73.28015952143569,31755,1
15,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.68951510361934,73.81546134663341,92.08103758057989,73.28015952143569,1300959,2
15,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.71078125767505,74.66334164588528,92.36044546312897,75.07477567298105,572235,1
15,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,88.5447538439978,71.67082294264338,90.78993561479805,69.69092721834497,374907,1
15,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.68096664049193,74.3640897755611,92.3138009277393,72.78165503489531,104667,1
15,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.24178466530692,74.61346633416458,92.0283982164331,72.78165503489531,31755,1
16,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.50126527793164,72.51870324189527,91.40441675763515,73.97806580259221,1300959,2
16,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.45087050533094,74.214463840399,92.25337509292602,74.97507477567298,572235,1
16,"{'embedding_attn': 0.325, 'after_attn': 0.325, 'feedforward': 0.275, 'embedding_pos': 0.275}",0.001,king_measure_corners,89.0837800242479,73.36658354114714,90.8647140463774,72.88135593220339,374907,1
16,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.33869080054787,73.66583541147132,92.3246095509589,73.87836490528414,104667,1
