idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
38,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.34825398358663,75.06234413965088,92.7490860427048,74.0777666999003,46495
39,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.25129038216254,72.76807980049875,92.85001711794875,74.67597208374876,46495
40,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.35306546451511,75.61097256857855,92.72723314662889,72.48255234297109,46495
41,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.71497684804221,75.51122194513715,92.74579769315508,74.97507477567298,46495
42,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.25600493457422,74.713216957606,93.02685097487077,74.37686939182453,46495
43,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.57144732588196,73.61596009975062,93.29696476123662,74.37686939182453,46495
44,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.30391470734087,75.51122194513715,93.00098633644447,74.97507477567298,46495
45,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.46713740948199,73.76558603491273,93.1223033128391,75.67298105682951,46495
46,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.37885823841202,75.41147132169576,92.93430100397558,75.67298105682951,46495
47,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.13328115050078,75.06234413965088,92.75966418302727,76.37088733798603,46495
48,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.1911359272236,75.51122194513715,92.9523572986608,74.97507477567298,46495
49,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,False,kipu,1,False,2,False,1,chain,92.42939579786898,76.6583541147132,92.9336308615239,74.27716849451646,46495
