idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
56,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.06942481751855,74.46384039900249,92.79749064523202,74.47657028913261
57,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.25795747352538,73.21695760598503,92.40736320534833,72.68195413758724
58,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.16142895746003,75.11221945137157,92.85402862069503,75.97208374875373
59,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.84823760365924,74.61346633416458,92.69843796410274,74.57627118644068
60,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.33565238081457,72.66832917705736,92.7985330809575,72.88135593220339
61,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.9928122077839,75.01246882793018,92.98084732514008,76.9690927218345
62,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.92650752262757,73.71571072319202,92.67346059033954,74.67597208374876
63,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.79613891135524,74.61346633416458,92.53689026003825,74.8753738783649
64,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.10823685910728,75.06234413965088,93.11267113334341,76.5702891326022
65,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.6253529627049,73.56608478802993,92.68763715853066,74.17746759720838
66,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.2064547589531,74.96259351620948,92.6865817717533,75.07477567298105
67,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.59169866480997,73.81546134663341,92.41960580974585,74.77567298105683
68,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.91995669258782,74.96259351620948,92.64445530897481,75.17447657028913
69,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.3919054461715,74.86284289276807,92.5549240734419,75.17447657028913
70,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.5996824497807,73.51620947630923,92.93769563790765,75.57328015952145
71,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.83894447489276,75.16209476309227,92.99089904917642,76.47058823529412
72,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.99677372910512,75.06234413965088,93.19812033755242,77.56729810568295
73,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.0428511880633,74.06483790523691,92.88492000846709,74.27716849451646
74,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.83120628688694,73.81546134663341,92.39187326433989,74.57627118644068
75,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.91025367135518,75.76059850374065,92.75006633894341,77.16849451645065
76,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.7743174789386,74.4139650872818,92.44354550715148,73.678963110668
77,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.2100853979876,72.01995012468828,92.49667416530973,72.78165503489531
78,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.6535069658188,74.61346633416458,92.69303079476981,75.3738783649053
79,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.77677885474445,74.96259351620948,92.797441363251,74.77567298105683
80,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.8526834563535,74.51371571072319,92.94965364703056,74.17746759720838
81,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.48074809493292,75.06234413965088,92.11890351073984,75.3738783649053
82,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.12356981540968,75.16209476309227,92.83398324990009,75.97208374875373
83,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.87545492961206,73.66583541147132,92.32289151072196,75.07477567298105
84,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.9581619182381,74.66334164588528,93.07290839240866,75.77268195413758
85,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.52604491796782,73.71571072319202,93.21646403995963,74.8753738783649
86,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.02985410411274,74.96259351620948,92.7155007453773,73.87836490528414
87,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.94065468761676,72.46882793017456,92.6822513511878,74.0777666999003
88,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.5316519353388,74.11471321695761,92.72477159962126,74.47657028913261
89,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.93218246594151,74.2643391521197,92.55564288649484,75.17447657028913
90,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.69299827041112,73.66583541147132,92.3073946441822,75.07477567298105
91,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.90993430709658,74.66334164588528,92.41658679068456,74.8753738783649
92,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.23656870782253,74.86284289276807,92.80003651208274,75.57328015952145
93,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.00663505354146,72.31920199501248,92.5350973633941,73.37986041874377
94,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.44469604132738,73.51620947630923,92.33600723738172,74.27716849451646
95,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,92.2967810479849,75.26184538653366,92.98492572750881,76.27118644067797
96,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,90.85884286088424,74.61346633416458,92.45000547355325,74.0777666999003
97,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.7907687752802,73.26683291770574,92.48330732612733,74.47657028913261
98,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,kipu,best,91.91646498508966,74.1645885286783,92.63829275253462,73.37986041874377
