idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,test_auc,test_acc,val_auc,val_acc
4,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.81869375709489,76.20947630922693,92.88616004345762,74.97507477567298
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.78846497093376,74.06483790523691,92.83353288232591,75.17447657028913
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.57747941518849,73.76558603491273,92.47310215517805,74.37686939182453
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.59107435626422,75.06234413965088,92.97299239548738,75.67298105682951
5,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.57649466055756,74.3640897755611,92.65250737067727,73.678963110668
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.51327057213636,74.61346633416458,92.34969038600168,74.37686939182453
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,92.14725824118536,75.26184538653366,92.78350280347568,74.8753738783649
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,92.39763298455367,74.61346633416458,92.9245090953305,75.67298105682951
6,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.60316368170118,73.51620947630923,92.41790748154169,73.97806580259221
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.88179815152712,74.51371571072319,92.8742916944488,75.17447657028913
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.5459890277801,73.81546134663341,92.62145528178432,75.07477567298105
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.27907690229907,73.46633416458853,92.41769724433829,75.07477567298105
7,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.48951348051693,74.713216957606,92.91864978316241,74.8753738783649
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.78044215738076,74.76309226932668,92.92723973187621,75.87238285144566
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.56040239582983,75.71072319201994,92.74115963126904,75.2741774675972
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.62862386221646,74.51371571072319,93.15722615456501,75.67298105682951
8,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.8281764983548,74.3640897755611,92.776600767159,75.87238285144566
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.73567600612962,74.713216957606,92.71168248446203,73.87836490528414
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.50775670069625,73.91521197007481,92.85809300620359,75.77268195413758
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.78759239524939,73.31670822942642,92.96236456893993,75.47357926221336
9,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.95325529135452,74.06483790523691,92.97521369149747,75.57328015952145
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.8680479188189,74.81296758104739,93.05131913064855,76.66999002991027
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.26928936801973,75.06234413965088,92.33608966291249,74.77567298105683
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.63685282831796,74.11471321695761,92.95523976497427,75.07477567298105
10,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.99527559786749,74.61346633416458,92.85310409532238,74.77567298105683
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.56072161234687,71.92019950124688,92.6038023776614,73.37986041874377
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,92.40453438535259,74.1645885286783,93.22025947086934,75.97208374875373
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.81591930289214,74.81296758104739,93.19464858886387,74.57627118644068
11,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.2,91.8343029627629,74.0149625935162,92.40299001544828,73.77866400797608
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.05,91.60867158268583,73.86533665835412,92.40995186837007,74.67597208374876
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,91.93701402330716,75.31172069825436,92.72767550616081,76.47058823529412
12,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.15,91.3205706669301,74.06483790523691,92.68419515056591,76.07178464606181
