idx,dropout,lr,quantum_data,test_auc,test_acc,val_auc,val_acc,#params,RD
11,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,91.9932772251532,74.61346633416458,92.863628014949,74.67597208374876,85011,1
12,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.04856758281537,72.66832917705736,91.55353369606632,73.37986041874377,2510523,2
12,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.5056442558045,73.01745635910224,92.4984428608169,74.77567298105683,1573779,1
12,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,87.76494254383866,69.72568578553616,89.25520266268964,67.29810568295115,1028787,1
12,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.55982161783261,74.3640897755611,92.61440040843357,74.17746759720838,284403,1
12,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.38481658457167,74.11471321695761,92.25432099232808,72.78165503489531,85011,1
12,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.11361960961973,75.31172069825436,92.76763917816376,74.97507477567298,85011,1
13,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.75102204132082,72.06982543640898,92.03229005498001,74.57627118644068,2510523,2
13,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.84511693281416,74.51371571072319,92.4282612406478,74.37686939182453,1573779,1
13,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,85.33581507411841,64.28927680798004,87.26306856596752,59.02293120638086,1028787,1
13,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.90338369381878,73.76558603491273,92.27593984108694,73.77866400797608,284403,1
13,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,90.61220431710353,73.86533665835412,91.72615082775157,74.27716849451646,85011,1
13,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.04171652421816,75.61097256857855,92.74076056151752,74.8753738783649,85011,1
14,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.34257790238885,74.11471321695761,92.13625995754632,75.17447657028913,2510523,2
14,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.5247617623463,74.66334164588528,92.46361502840409,73.87836490528414,1573779,1
14,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.53787484029878,71.4214463840399,90.46319981644046,69.39182452642075,1028787,1
14,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.06792534239476,72.66832917705736,92.24797905668247,69.29212362911267,284403,1
14,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.45207059134029,73.86533665835412,92.5679939925313,74.27716849451646,85011,1
14,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.32529985432298,75.06234413965088,92.7621646429645,76.07178464606181,85011,1
15,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.12499025098424,72.66832917705736,92.09433930126994,74.17746759720838,2510523,2
15,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.62231509115273,74.96259351620948,92.61075517767439,75.3738783649053,1573779,1
15,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,86.92444516355407,66.03491271820448,88.03791113529316,58.524426719840484,1028787,1
15,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.9920010556631,73.91521197007481,91.95940522898464,71.9840478564307,284403,1
15,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.39567242788864,74.81296758104739,92.4170180563934,73.28015952143569,85011,1
15,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.38619872044502,75.86034912718205,92.4998593794629,74.57627118644068,85011,1
16,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.25377639318508,73.96508728179552,92.33161217056363,73.28015952143569,2510523,2
16,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.16229096718422,74.06483790523691,92.6368827843018,73.97806580259221,1573779,1
16,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.54038384196627,70.87281795511223,90.39308599191624,62.71186440677966,1028787,1
16,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,90.69294542992547,73.51620947630923,92.22875024843437,72.18344965104686,284403,1
16,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.7803478058626,74.3142144638404,92.65650774203708,71.9840478564307,85011,1
16,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.39572921636136,75.51122194513715,92.96850622036574,73.87836490528414,85011,1
17,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.20278879039546,74.1645885286783,92.45236979832053,74.57627118644068,2510523,2
17,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,90.9678333196892,72.76807980049875,92.03663774523108,72.28315054835494,1573779,1
17,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,88.08558091291842,64.58852867830423,89.59184596616156,65.50348953140578,1028787,1
17,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.07755436051802,74.46384039900249,92.55254048508486,73.37986041874377,284403,1
17,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.32348346925457,73.66583541147132,91.98711620344557,73.87836490528414,85011,1
17,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.25690283817175,75.76059850374065,92.99840679666825,75.17447657028913,85011,1
18,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.56309736544321,73.86533665835412,92.81960770859652,74.37686939182453,2510523,2
18,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,91.37632231728615,73.41645885286783,92.77561283442934,73.77866400797608,1573779,1
18,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,87.3782429802343,61.54613466334165,89.03171880948965,58.524426719840484,1028787,1
18,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.41902257902058,75.11221945137157,92.33155212123982,72.58225324027916,284403,1
18,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.54217940651532,74.66334164588528,92.1853009346806,71.9840478564307,85011,1
18,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,91.92765840922455,74.1645885286783,92.720905282954,74.27716849451646,85011,1
19,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,90.50321115415603,71.87032418952619,91.7982413661936,72.48255234297109,2510523,2
19,"{'embedding_attn': 0.375, 'after_attn': 0.375, 'feedforward': 0.3, 'embedding_pos': 0.3}",0.00085,king_measure_cross,90.99856942374755,73.36658354114714,92.96285902280326,73.57926221335993,1573779,1
19,"{'embedding_attn': 0.275, 'after_attn': 0.3, 'feedforward': 0.25, 'embedding_pos': 0.275}",0.00135,king_measure_corners,87.89316148568561,69.37655860349126,90.11936290960796,64.70588235294117,1028787,1
19,"{'embedding_attn': 0.275, 'after_attn': 0.275, 'feedforward': 0.25, 'embedding_pos': 0.25}",0.00175,king_2_ancilla,91.14531780521283,73.26683291770574,92.7747852597074,71.68494516450647,284403,1
19,"{'embedding_attn': 0.25, 'after_attn': 0.25, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,king_1_ancilla,91.11184739226523,72.61845386533666,92.43093842424436,72.48255234297109,85011,1
19,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",0.0025,none,92.14093324732072,74.46384039900249,92.91991560679006,75.47357926221336,85011,1
20,"{'embedding_attn': 0.475, 'after_attn': 0.475, 'feedforward': 0.35, 'embedding_pos': 0.35}",0.0004,king_measure_all,91.15836778298113,73.31670822942642,92.2194678407416,74.57627118644068,2510523,2
