idx,test_auc,test_acc,val_auc,val_acc,#params, lr, patch_size, dropout, num_head, num_transf, RBF_similarity, mlp_size, weight_decay, attention_selection, entangle, RD, paralel, patience, connectivity, scheduler_factor, q_stride, quantum_data, quantum_mlp, quantum_classification, train_q
30,91.3566000262933,72.76807980049875,92.20819288274265,74.8753738783649,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
31,91.96979265612393,73.16708229426435,92.78150167951705,73.678963110668,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
32,92.16214576003762,74.91271820448878,92.47620850379785,75.07477567298105,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
33,91.8205778153695,74.2643391521197,92.51177124392152,74.97507477567298,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
34,91.66522580486807,73.96508728179552,92.6443041600419,73.37986041874377,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
35,91.96313362191611,73.96508728179552,92.33699750266709,74.97507477567298,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
36,91.2215798017492,74.61346633416458,92.37155941971139,75.47357926221336,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
37,91.52745771658888,74.214463840399,92.48508967216374,74.97507477567298,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
38,91.8531874224074,75.01246882793018,92.72725623285947,74.47657028913261,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
39,91.86326862115305,74.66334164588528,92.73667056814686,74.57627118644068,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
40,91.9765914370679,74.51371571072319,92.63689080121897,73.97806580259221,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
41,91.73093410460774,73.71571072319202,92.20589998377865,74.8753738783649,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
42,91.48546055777838,74.4139650872818,92.43922126808926,74.37686939182453,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
43,92.18141000562434,74.81296758104739,92.46666837410176,74.67597208374876,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
44,91.92706395803614,74.86284289276807,92.38821073221266,75.67298105682951,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
45,91.93814123297673,74.61346633416458,92.47751674657351,75.87238285144566,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
46,91.76262880419075,74.214463840399,92.48161001217933,74.8753738783649,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
47,91.78196158376791,74.81296758104739,92.5673836120015,75.17447657028913,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
48,92.1061283547801,75.01246882793018,92.5500683555851,72.98105682951147,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
49,92.01545071298793,75.21197007481297,92.69828888822758,75.47357926221336,104667,0.00135,4,"{'embedding_attn': 0.3, 'after_attn': 0.2875, 'feedforward': 0.275, 'embedding_pos': 0.275}",4,2,none,9,1e-07,filter,False,1,1,-1,chain,0.998,1,king_1_ancilla_cat_original,False,False,False
