idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,test_auc,test_acc,val_auc,val_acc
5,0.0025,48,0.1,4,1,10,4,1e-07,91.00883518613757,72.66832917705736,91.74323009948709,73.47956131605184
6,0.0025,48,0.1,4,1,2,4,1e-07,90.50175975223604,73.56608478802993,91.50811667447752,73.87836490528414
6,0.0025,48,0.1,4,1,3,4,1e-07,90.4910679616443,72.96758104738154,91.47787596586664,72.68195413758724
6,0.0025,48,0.1,4,1,4,4,1e-07,90.99372419228374,73.76558603491273,92.04183097332053,74.67597208374876
6,0.0025,48,0.1,4,1,5,4,1e-07,90.785686051224,74.0149625935162,91.47777648672069,73.57926221335993
6,0.0025,48,0.1,4,1,6,4,1e-07,91.28911327318143,74.06483790523691,91.73564803191027,74.67597208374876
6,0.0025,48,0.1,4,1,7,4,1e-07,91.20354971513693,74.214463840399,91.60340030597793,75.07477567298105
6,0.0025,48,0.1,4,1,8,4,1e-07,90.73036669606176,73.06733167082294,91.78473514536219,73.08075772681954
6,0.0025,48,0.1,4,1,9,4,1e-07,90.97966070513486,73.21695760598503,91.98582552715948,74.0777666999003
6,0.0025,48,0.1,4,1,10,4,1e-07,91.23963519374448,73.91521197007481,91.88295203364414,74.57627118644068
7,0.0025,48,0.1,4,1,2,4,1e-07,90.87442972902613,73.76558603491273,91.38815987682742,74.37686939182453
7,0.0025,48,0.1,4,1,3,4,1e-07,91.25562125679888,73.96508728179552,91.72199181864717,74.47657028913261
7,0.0025,48,0.1,4,1,4,4,1e-07,90.68957732907909,73.66583541147132,91.60781714441714,73.678963110668
7,0.0025,48,0.1,4,1,5,4,1e-07,90.38139144523508,72.76807980049875,91.58604334365525,74.37686939182453
7,0.0025,48,0.1,4,1,6,4,1e-07,91.19408328969261,72.31920199501248,91.93006818079375,76.17148554336988
7,0.0025,48,0.1,4,1,7,4,1e-07,90.65089401765,73.01745635910224,91.41671522999033,72.78165503489531
7,0.0025,48,0.1,4,1,8,4,1e-07,91.42867196006439,74.214463840399,91.81643981027997,73.57926221335993
7,0.0025,48,0.1,4,1,9,4,1e-07,90.98240952894635,74.4139650872818,91.6473814512041,75.07477567298105
7,0.0025,48,0.1,4,1,10,4,1e-07,91.012041499118,74.713216957606,91.96359992616524,74.0777666999003
8,0.0025,48,0.1,4,1,2,4,1e-07,90.38717030615624,73.21695760598503,91.42386809408022,73.37986041874377
8,0.0025,48,0.1,4,1,3,4,1e-07,90.92855901296254,73.86533665835412,92.0096292417602,74.8753738783649
8,0.0025,48,0.1,4,1,4,4,1e-07,91.05989722675626,74.4139650872818,91.81998338202304,74.17746759720838
8,0.0025,48,0.1,4,1,5,4,1e-07,91.09692014395829,73.86533665835412,92.02458006491987,74.77567298105683
8,0.0025,48,0.1,4,1,6,4,1e-07,90.93311433604147,73.56608478802993,91.73205043399203,74.8753738783649
8,0.0025,48,0.1,4,1,7,4,1e-07,90.73060637057239,73.81546134663341,92.04733125189367,75.07477567298105
8,0.0025,48,0.1,4,1,8,4,1e-07,90.80620583737485,72.86783042394015,91.95062212611124,74.27716849451646
8,0.0025,48,0.1,4,1,9,4,1e-07,90.90292765602622,73.81546134663341,91.93399172408945,74.27716849451646
8,0.0025,48,0.1,4,1,10,4,1e-07,91.01417283551952,73.91521197007481,91.62961642923094,74.0777666999003
9,0.0025,48,0.1,4,1,2,4,1e-07,90.86114834255464,73.26683291770574,91.77819643448669,73.97806580259221
9,0.0025,48,0.1,4,1,3,4,1e-07,91.02806451733636,72.46882793017456,91.84051350227556,73.77866400797608
9,0.0025,48,0.1,4,1,4,4,1e-07,90.43602890964674,74.1645885286783,91.70006599012045,73.678963110668
9,0.0025,48,0.1,4,1,5,4,1e-07,91.07724822059798,73.76558603491273,91.90178345810529,73.87836490528414
9,0.0025,48,0.1,4,1,6,4,1e-07,90.90960269868377,74.46384039900249,91.84666830168459,74.0777666999003
9,0.0025,48,0.1,4,1,7,4,1e-07,90.55117890379678,73.06733167082294,91.27641856589361,73.08075772681954
9,0.0025,48,0.1,4,1,8,4,1e-07,90.97673540663749,73.46633416458853,91.68699110865441,73.77866400797608
9,0.0025,48,0.1,4,1,9,4,1e-07,90.81171440501927,73.46633416458853,92.07912127943547,74.37686939182453
9,0.0025,48,0.1,4,1,10,4,1e-07,90.77968331072952,72.86783042394015,91.64464395616521,73.18045862412762
