idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
45,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.09280516099173,73.96508728179552,92.49189556750187,74.77567298105683
46,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.73116272259466,74.214463840399,92.05465932868273,73.47956131605184
47,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.97083878748161,74.46384039900249,92.2343628401565,73.678963110668
48,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.14597224682669,73.46633416458853,92.45764934113893,75.2741774675972
49,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.48650781550869,73.36658354114714,92.20203283810223,74.67597208374876
50,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.02277839715067,74.46384039900249,92.11014299250681,74.97507477567298
51,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.84233918996604,74.1645885286783,92.20759610924044,75.47357926221336
52,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.08078622765524,74.81296758104739,92.59165007711202,74.97507477567298
53,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.83209224344132,73.86533665835412,92.13537580902613,75.07477567298105
54,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.3968014089526,73.36658354114714,92.34499800973516,73.87836490528414
55,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.93640157794843,74.0149625935162,92.45686642220522,75.07477567298105
56,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,92.05462058487426,74.06483790523691,91.98807788563505,73.97806580259221
57,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.34558828944189,74.3142144638404,92.57844474151523,75.77268195413758
58,0.003,48,0.225,4,3,6,4,1e-07,True,True,True,True,True,penny,91.78537010310424,73.96508728179552,92.30766232688227,74.57627118644068
