idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,test_auc,test_acc,val_auc,val_acc
59,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.92541562531721,75.26184538653366,92.89898491213854,75.3738783649053
60,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.22287937696527,73.26683291770574,92.59288768568045,75.47357926221336
61,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,92.244979884185,75.96009975062344,93.23608115573784,76.47058823529412
62,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.9081009101464,75.16209476309227,93.14645172176219,76.37088733798603
63,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.92328250545485,74.2643391521197,92.54498189408842,74.67597208374876
64,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.48154680674224,74.56359102244389,92.35076404139157,75.77268195413758
65,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.30079325217044,73.26683291770574,92.46026217906014,74.37686939182453
66,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.7076905834499,74.3640897755611,92.82342552996691,75.57328015952145
67,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.26256742095164,73.16708229426435,92.47481615045257,77.46759720837487
68,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.31491079258014,74.76309226932668,92.7650524185866,74.67597208374876
69,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.89295720535348,73.61596009975062,92.9651382519571,75.87238285144566
70,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.40954587255806,74.61346633416458,92.45824414959569,75.47357926221336
71,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.56117019098701,75.41147132169576,92.69678795941651,75.3738783649053
72,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.329133421896,73.71571072319202,92.44100035759834,75.57328015952145
73,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.58335231496044,74.46384039900249,92.4610387188802,76.9690927218345
74,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.63313362905231,74.56359102244389,92.58581565751442,75.57328015952145
75,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,90.94696312599648,74.0149625935162,92.46060905204837,75.67298105682951
76,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.73718780363541,74.81296758104739,92.92518098218125,76.47058823529412
77,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.9228302994428,75.26184538653366,92.68931307857795,74.97507477567298
78,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.44513662572955,74.11471321695761,92.51026691826418,74.37686939182453
79,0.0025,48,0.225,4,2,3,4,1e-07,True,True,True,True,True,kipu,best,91.82166495234891,75.11221945137157,93.09064134005838,76.66999002991027
