idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
7,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.3957955106528,72.61845386533666,92.03107872064585,75.47357926221336
8,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.13691093864168,74.0149625935162,92.2251844886143,74.97507477567298
8,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.56498907819882,74.3640897755611,92.22113626483035,76.07178464606181
9,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.74774888884359,73.91521197007481,91.72215575012515,74.0777666999003
9,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.52191186922892,73.81546134663341,92.2173565991535,75.07477567298105
10,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.33791611387538,73.56608478802993,91.97490448882444,74.17746759720838
10,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.53811839296634,74.51371571072319,92.33054438054157,75.2741774675972
11,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.65371702812777,73.86533665835412,92.80136521410999,75.87238285144566
11,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.64926636329639,73.61596009975062,92.39160402013401,73.28015952143569
12,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.2932002730149,74.1645885286783,91.97814775400397,73.678963110668
12,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.68315023547386,73.21695760598503,92.06605464044067,74.8753738783649
13,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.29000374531134,72.56857855361596,92.02200200710848,73.18045862412762
13,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.45381067357452,71.97007481296758,91.97471191256064,74.77567298105683
14,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.6865747434371,73.76558603491273,92.218083191531,75.17447657028913
14,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,90.79692904949485,72.96758104738154,91.93479969346147,75.17447657028913
15,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.54156559748252,73.06733167082294,92.64818970713459,74.57627118644068
15,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.71068164370995,73.31670822942642,92.15768769753751,74.57627118644068
16,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.77423632731661,74.3640897755611,92.363785328011,75.87238285144566
16,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.72736068995135,74.4139650872818,91.82519232881307,74.97507477567298
17,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.42176183931697,73.66583541147132,92.31945013486884,73.97806580259221
17,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.52620154199852,73.06733167082294,92.32334749552301,74.97507477567298
18,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.47829484555464,74.214463840399,91.98518859083558,75.67298105682951
18,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.33803261597565,73.56608478802993,91.88186096241473,74.0777666999003
19,0.003,48,0.225,4,2,3,4,1e-07,True,False,False,False,True,penny,91.10272322034447,72.71820448877806,91.70838095586056,72.88135593220339
19,0.003,48,0.225,4,2,3,4,1e-07,True,False,True,True,True,penny,91.613930437913,74.3640897755611,92.34769775818599,75.17447657028913
