idx,quantum_mlp,mlp_size,test_auc,test_acc,val_auc,val_acc,#params
25,False,3,92.29114916446245,74.713216957606,93.06072329034707,75.57328015952145,26943
25,True,4,92.35076376084653,76.55860349127181,93.30918092667117,76.5702891326022,27727
25,False,4,91.84430192747548,75.26184538653366,92.73694197692379,75.17447657028913,27735
25,True,5,92.02658045316305,75.91022443890274,92.91042386820718,74.97507477567298,28511
25,False,5,92.14719968490253,75.56109725685786,92.44174165613094,74.17746759720838,28531
26,True,3,91.93838609387645,75.11221945137157,92.86877575327304,75.97208374875373,26943
26,False,3,92.21945419847177,75.11221945137157,92.69308873711452,74.57627118644068,26943
26,True,4,92.16459308818362,75.46134663341645,92.37115003371214,75.47357926221336,27727
26,False,4,92.11068569983645,74.96259351620948,92.76109284999957,76.76969092721835,27735
0,True,3,91.98470349706257,74.81296758104739,93.09798170373215,74.77567298105683,26943
0,True,4,92.18490504218552,75.76059850374065,92.736762451786,76.9690927218345,27727
0,True,5,92.27318259330445,75.61097256857855,92.94037303131965,76.17148554336988,28511
0,True,3,91.88121162555565,75.56109725685786,92.79405966276312,76.07178464606181,26943
0,True,4,91.91793020266064,74.214463840399,92.4731191031826,74.0777666999003,27727
