idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
22,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.36519253024487,74.4139650872818,91.91813726628928,74.8753738783649
23,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.79303838299194,74.3142144638404,92.14060589498068,75.17447657028913
24,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.60811401127621,72.86783042394015,92.066807201484,73.57926221335993
25,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.74549687592119,75.16209476309227,92.21644111386934,75.07477567298105
26,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.41437944043088,73.96508728179552,92.32586223491766,73.97806580259221
27,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.77259896393751,73.96508728179552,92.08375530779766,74.17746759720838
28,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.26694208881126,73.71571072319202,92.46080651804682,75.67298105682951
29,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.63825492316754,74.56359102244389,91.93689953431941,74.47657028913261
30,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,92.05280261915848,74.66334164588528,92.57508970523347,74.37686939182453
31,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.09159674850609,71.52119700748129,91.88289532594813,72.88135593220339
32,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.92098514358109,73.01745635910224,92.24026799160882,73.47956131605184
33,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.65695152348992,73.66583541147132,92.00373462630861,74.47657028913261
34,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.31180721946019,73.31670822942642,92.0155452651337,74.77567298105683
35,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.82887376589673,74.06483790523691,92.69118556503471,74.77567298105683
36,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.92632389005949,74.66334164588528,92.21608108230487,74.0777666999003
37,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.35457174119412,73.76558603491273,92.07075750844105,73.678963110668
38,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.18225798257023,74.3640897755611,91.44178526684465,73.28015952143569
39,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.74283807542064,74.06483790523691,92.299406924552,74.47657028913261
40,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.37796708388196,73.01745635910224,91.86626278849383,72.38285144566301
41,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.47947590723443,72.96758104738154,91.71762249866424,73.57926221335993
42,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.46175141733188,72.56857855361596,91.86781922150932,73.678963110668
43,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.43198454512083,73.61596009975062,92.31614735438056,75.87238285144566
44,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.80884361964671,74.2643391521197,92.04464655913031,74.37686939182453
45,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.51911375736643,73.86533665835412,92.18272535155677,73.47956131605184
46,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.49590045596231,72.66832917705736,92.4247217691608,73.97806580259221
47,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.43689452306299,74.4139650872818,92.18663803016624,74.67597208374876
48,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.45142305677705,72.61845386533666,92.19638926556031,72.48255234297109
49,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.36206030500078,72.31920199501248,91.89001758950843,72.28315054835494
50,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.37918324681395,74.3142144638404,92.3711373610212,75.3738783649053
51,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.08118778864366,72.56857855361596,92.01544793836634,73.47956131605184
52,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.0995772898161,73.21695760598503,91.88751087736235,75.2741774675972
53,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.18914864016168,73.11720698254364,91.94232833958935,75.17447657028913
54,0.003,48,0.225,4,2,6,4,1e-07,False,False,True,True,False,penny,91.34507691722547,74.46384039900249,91.67993547183472,74.17746759720838
