idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
40,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.37761951126218,74.76309226932668,75.31172069825436,93.462947011935
41,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,91.91044146141097,74.51371571072319,72.71820448877806,93.33898404114962
42,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.66019936085412,73.11720698254364,73.81546134663341,93.40274307495481
43,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.19495415972457,74.0149625935162,73.16708229426435,92.49159532520618
44,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.1072665497352,74.81296758104739,74.81296758104739,93.25207635139869
45,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,91.7722401159237,73.71571072319202,72.56857855361596,92.83971152249515
46,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.26560479795778,74.1645885286783,74.81296758104739,92.84694218622187
47,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.3842230136384,74.214463840399,73.51620947630923,93.19447187286188
48,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,3,92.03014801275388,74.81296758104739,73.51620947630923,92.40017600660248
49,0.0025,48,"{'embedding_attn': 0.4, 'after_attn': 0.35, 'feedforward': 0.2575, 'embedding_pos': 0.3}",4,3,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,3,92.13170423660479,72.51870324189527,73.76558603491273,92.59843346515923
