idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,entangle,penny_or_kipu,RD,convolutional,paralel,quantum_data,q_stride,connectivity,test_auc,test_acc,val_auc,val_acc,#params
32,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.07674455694249,74.3640897755611,92.81432659253369,75.97208374875373,53479
33,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.39837321176607,74.81296758104739,92.99436428346924,75.2741774675972,53479
34,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.21818189216984,74.2643391521197,93.11417600309656,74.47657028913261,53479
35,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.2936418583879,74.06483790523691,93.0021554407879,74.67597208374876,53479
36,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.42686485842289,75.26184538653366,93.2184247925905,76.17148554336988,53479
37,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.39623946907406,74.91271820448878,93.48992583446787,75.47357926221336,53479
38,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,91.97989654226356,74.61346633416458,93.03447598536998,72.68195413758724,53479
39,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.29547703916002,75.76059850374065,92.82859444078842,75.47357926221336,53479
40,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.4543826423658,74.0149625935162,93.41952492318684,75.07477567298105,53479
41,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.19347648533302,74.46384039900249,92.8806278823579,75.97208374875373,53479
42,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.46722236598883,74.1645885286783,93.26977240367823,75.07477567298105,53479
43,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.80968946755326,75.51122194513715,93.25221644797382,74.47657028913261,53479
44,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.05401716610514,75.46134663341645,92.95471866599992,75.87238285144566,53479
45,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.45914230328471,74.214463840399,93.22853313875747,75.2741774675972,53479
46,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.64988718001096,75.61097256857855,93.07023995851767,75.87238285144566,53479
47,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.35999652991404,75.41147132169576,93.1599647648512,77.06879361914257,53479
48,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.71761892904252,74.61346633416458,93.08338403369153,74.17746759720838,53479
49,0.0025,48,"{'embedding_attn': 0.35, 'after_attn': 0.3, 'feedforward': 0.45, 'embedding_pos': 0.225}",4,2,6,4,1e-07,filter,True,kipu,1,True,2,False,2,entangled_triangle,92.48520123965643,74.56359102244389,93.37279968172419,74.97507477567298,53479
