idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,test_auc,test_acc,val_auc,val_acc
13,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.41226049102356,73.51620947630923,91.52827382336761,73.47956131605184
13,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.66445588085423,73.71571072319202,91.64613019483224,74.8753738783649
14,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.35382821665652,73.16708229426435,91.76675452442592,73.678963110668
14,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.65264327597818,74.56359102244389,91.9692394775093,74.17746759720838
15,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.81423351257682,74.51371571072319,92.18056219371346,73.77866400797608
15,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,90.63252614888357,70.87281795511223,92.01859028794782,73.37986041874377
16,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.47557223415143,74.0149625935162,92.00620227257578,76.27118644067797
16,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.53700057605346,73.86533665835412,92.00667329940258,73.28015952143569
17,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.18458960244826,74.1645885286783,92.21309751303559,74.37686939182453
17,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.95633557661041,75.31172069825436,92.51889422882228,76.07178464606181
18,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.7200652275589,74.2643391521197,92.32023297841936,75.3738783649053
18,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,91.36365446479527,73.76558603491273,91.80890905646744,73.77866400797608
19,0.003,48,0.225,4,2,3,4,1e-07,False,False,False,False,False,penny,91.43496383014453,74.3640897755611,92.01385361881495,75.67298105682951
19,0.003,48,0.225,4,2,3,4,1e-07,False,False,True,True,False,penny,90.97827206943084,73.11720698254364,91.51157085723594,74.0777666999003
