idx,patch_size,q_stride,test_auc,test_acc,val_auc,val_acc,#params
35,2,4,68.60194257572931,35.81047381546135,91.25168694228394,72.88135593220339,177831
35,4,1,70.87562799880432,48.02992518703242,90.42679317740532,73.08075772681954,1902159
35,4,4,64.07703881403059,23.14214463840399,91.31607182727241,72.58225324027916,1902159
36,2,1,78.48761037810296,64.48877805486283,92.59739624629884,72.98105682951147,177831
36,2,4,74.39978825297429,42.99251870324189,91.06203412880217,73.77866400797608,177831
36,4,1,73.25743880847295,46.28428927680798,91.246580675997,72.48255234297109,1902159
36,4,4,70.50768208362149,43.591022443890274,91.58405489679083,74.0777666999003,1902159
37,2,1,75.21395579995708,35.11221945137157,92.43876205369969,73.47956131605184,177831
37,2,4,78.03138041548944,55.11221945137157,92.12955651011596,72.08374875373879,177831
37,4,1,73.71904657892597,54.06483790523691,90.63869018047198,71.9840478564307,1902159
37,4,4,71.74420061065089,33.16708229426434,90.88147836590491,72.58225324027916,1902159
38,2,1,75.60433853224019,58.70324189526185,92.00048405045959,72.68195413758724,177831
38,2,4,76.31912659848857,37.80548628428927,91.75459504246425,70.18943170488534,177831
38,4,1,79.38553996033252,64.73815461346634,91.71914825620792,72.58225324027916,1902159
38,4,4,60.05155564408613,38.65336658354115,90.56451969986169,72.08374875373879,1902159
39,2,1,72.61866971102015,36.00997506234414,91.31677027031515,73.77866400797608,177831
39,2,4,77.99149066488737,43.84039900249376,91.95268509785312,72.58225324027916,177831
39,4,1,70.4933358216626,43.64089775561097,91.23358463575146,73.08075772681954,1902159
39,4,4,74.54134784473761,42.942643391521194,91.03918058757174,71.08673978065802,1902159
40,2,1,72.90250083820489,33.21695760598504,92.00478971270385,73.18045862412762,177831
40,2,4,73.63591327316216,65.13715710723193,92.02861388855882,73.18045862412762,177831
40,4,1,70.04173787448853,30.872817955112218,91.7435956035589,73.37986041874377,1902159
40,4,4,71.10958854634575,49.77556109725686,91.17862706098626,72.18344965104686,1902159
41,2,1,81.34793947637753,52.418952618453865,91.89051317711858,75.87238285144566,177831
41,2,4,70.97433698138535,22.942643391521198,91.72731231141384,72.68195413758724,177831
41,4,1,69.56091949925492,45.785536159601,90.57385578719,71.78464606181456,1902159
41,4,4,72.2157240881588,42.394014962593516,91.88153860870496,74.17746759720838,1902159
42,2,1,82.63677910856335,66.98254364089775,91.72259554307517,71.68494516450647,177831
