idx,learning_rate,hidden_size,dropout,num_head,num_transf,mlp_size,patch_size,weight_decay,attention_selection,filter_by_attention,entangle,strong,mlp_only_quant,penny_or_kipu,which,t,RD,paralel,test_auc,test_acc,val_auc,val_acc
33,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.49385013893794,73.51620947630923,73.76558603491273,92.4791750882392
34,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.30781784535003,73.76558603491273,73.01745635910224,92.19021681180895
35,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.64416163771234,73.81546134663341,74.214463840399,92.7357484787906
36,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,92.0379456430912,74.96259351620948,74.56359102244389,92.64638144999712
37,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.60603828289877,74.0149625935162,73.46633416458853,92.07590661325516
38,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.8397554554079,73.46633416458853,73.41645885286783,92.81888936299343
39,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.5251927812761,74.56359102244389,74.3640897755611,92.82356775566569
40,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.76779157306268,74.86284289276807,75.01246882793018,92.61446394195914
41,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.6942408902356,74.06483790523691,74.76309226932668,92.66949726606178
42,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.66940219051057,75.21197007481297,74.2643391521197,92.12412635502396
43,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.33280762502976,73.31670822942642,73.51620947630923,92.53880480566153
44,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.18881768393817,73.61596009975062,73.61596009975062,92.57780174604615
45,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,last,0.1,1,False,91.84222436740326,74.61346633416458,75.96009975062344,92.6186589095048
46,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.30459324632591,74.1645885286783,73.66583541147132,92.28137524818905
47,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.9647052769311,73.96508728179552,72.61845386533666,92.82678668174448
48,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.70804486756943,73.61596009975062,73.16708229426435,92.40703362319735
49,0.0025,48,"{'embedding_attn': 0.225, 'after_attn': 0.225, 'feedforward': 0.225, 'embedding_pos': 0.225}",4,2,3,4,1e-07,True,True,True,True,True,kipu,best,0.1,1,False,91.68761022041504,74.1645885286783,72.81795511221945,92.60778018113226
